,Competition,Stage,Year,Number,Problem Statement,ID,Figure,Answer
96,OSN,Regional,2015,17,Banyak-mangkok pada papan caturn berukuran $3\times 3$ diisi dengan angka satu hingga sembilan dengan syarat angka-angka berbeda. Banyaknya penomoran yang mungkin sehingga jumlah angka pada masing-masing baris dan masing-masing kolom habis dibagi 3 adalah $\dots$,OSN_Regional_2015_17,,81
97,OSN,Regional,2015,18,"Pada segilima beraturan $ABCDE$, diagonal-diagonalnya berpotongan di $F,G,H,I$ dan $J$. Misalkan $S_1$ menyatakan luas segilima $ABCDE$ dan $S_2$ menyatakan luas segilima $FGHIJ$. Jika
\[
\frac{S_1}{S_2} = \frac{m - \sqrt{n}}{k},
\]
dengan $k,m,n$ bilangan bulat positif dan $n$ tidak memiliki faktor kuadrat selain 1, maka nilai dari $k + m + n$ adalah $\dots$",OSN_Regional_2015_18,,$\frac{7+3\sqrt{5}}{2}$
98,OSN,Regional,2015,19,"Suatu permutasi $a_1,a_2,\ldots,a_{10}$ dari $\{1,2,\ldots,10\}$ dikatakan sebagai permutasi yang \emph{hampir naik} jika terdapat tepat satu indeks $i$ sehingga $a_{i-1}>a_i$. Banyaknya permutasi hampir naik yang mungkin adalah $\dots$",OSN_Regional_2015_19,,1013
99,OSN,Regional,2015,20,"Untuk setiap bilangan real $a$, didefinisikan $f(a)$ sebagai nilai maksimal dari
\[
\left|\sin x + \frac{2}{3+\sin x} + a\right|.
\]
Nilai minimal dari $f(a)$ adalah $\dots$",OSN_Regional_2015_20,,$\frac{3}{4}$
100,OSN,Regional,2016,1,"Jika $a,b,c,d,e$ merupakan bilangan asli dengan $a < 2b$, $b < 3c$, $c < 4d$, $d < 5e$ dan $e < 100$, maka nilai maksimum dari $a$ adalah $\dots$",OSN_Regional_2016_1,,11847
101,OSN,Regional,2016,2,Rudi membuat bilangan asli dua digit. Probabilitas bahwa kedua digit bilangan tersebut merupakan bilangan prima dan bilangan tersebut bersisa 3 jika dibagi 7 adalah $\dots$,OSN_Regional_2016_2,,$\frac{1}{45}$
102,OSN,Regional,2016,3,"Pada segitiga $ABC$, titik $M$ terletak pada $BC$ sehingga $AB = 7$, $AM = 3$, $BM = 5$ dan $MC = 6$. Panjang $AC$ adalah $\dots$",OSN_Regional_2016_3,,$3\sqrt{3}$
103,OSN,Regional,2016,4,Diberikan $a$ dan $b$ bilangan real dengan $\sqrt{a} - \sqrt{b} = 20$. Nilai maksimum dari $a - 5b$ adalah $\dots$,OSN_Regional_2016_4,,500
104,OSN,Regional,2016,5,"Pada segitiga $ABC$, titik $X,Y$ dan $Z$ berturut-turut terletak pada sinar $BA$, $CB$ dan $AC$ sehingga $BX = 2BA$, $CY = 2CB$ dan $AZ = 2AC$. Jika luas $\triangle ABC$ adalah $1$, maka luas $\triangle XYZ$ adalah $\dots$",OSN_Regional_2016_5,,7
105,OSN,Regional,2016,6,Banyaknya bilangan asli $n$ yang memenuhi sifat hasil jumlah $n$ dan suatu pembagi positif $n$ yang kurang dari $n$ sama dengan 2016 adalah $\dots$,OSN_Regional_2016_6,,34
106,OSN,Regional,2016,7,Misalkan $a$ adalah bilangan real sehingga polinomial $p(x) = x^4 + 4x + a$ habis dibagi oleh $(x - c)^2$ untuk suatu bilangan real $c$. Nilai $a$ yang memenuhi adalah $\dots$,OSN_Regional_2016_7,,$a=3$
107,OSN,Regional,2016,8,Anak laki–laki dan anak perempuan yang berjumlah 48 orang duduk melingkar secara acak. Banyaknya minimum anak perempuan sehingga pasti ada enam anak perempuan yang duduk berdekatan tanpa diselingi anak laki–laki adalah $\dots$,OSN_Regional_2016_8,,41
108,OSN,Regional,2016,9,"Misalkan $(a,b,c,d,e,f)$ adalah sebarang pengurutan dari $\{1,2,3,4,5,6\}$. Banyaknya pengurutan sehingga $a + c + e > b + d + f$ adalah $\dots$",OSN_Regional_2016_9,,360
109,OSN,Regional,2016,10,"Misalkan $n_1, n_2, n_3, \dots$ bilangan–bilangan asli yang membentuk barisan aritmatika. Banyaknya nilai $d$ di himpunan $\{1,2,3,\dots,1000\}$ yang mungkin menjadi nilai $n_{n_2} - n_{n_1}$ adalah $\dots$",OSN_Regional_2016_10,,31
110,OSN,Regional,2016,11,"Segitiga $ABC$ mempunyai panjang sisi $AB = 20$, $AC = 21$ dan $BC = 29$. Titik $D$ dan $E$ terletak pada segmen garis $BC$, dengan $BD = 8$ dan $EC = 9$. Besar $\angle DAE$ adalah \dots derajat.",OSN_Regional_2016_11,,$45^{\circ}$
111,OSN,Regional,2016,12,"Bilangan real $t$ sehingga terdapat dengan tunggal tripel bilangan real $(x,y,z)$ yang memenuhi $x^2 + 2y^2 = 3z$ dan $x + y + z = t$ adalah $\dots$",OSN_Regional_2016_12,,$-\frac{9}{8}$
112,OSN,Regional,2016,13,Palindrom adalah bilangan yang sama dibaca dari depan atau dari belakang. Sebagai contoh 12321 dan 32223 merupakan palindrom. Palindrom 5 digit terbesar yang habis dibagi 303 adalah $\dots$,OSN_Regional_2016_13,,47874
113,OSN,Regional,2016,14,"Diberikan barisan $\{a_n\}$ dan $\{b_n\}$ dengan $a_n = \frac{1}{n\sqrt{n}}$ dan
\[
b_n = \frac{1}{(1 + 1/n) + \sqrt{1 + 1/n}}
\]
untuk setiap bilangan asli $n$. Misalkan
\[
S_n = a_1 b_1 + a_2 b_2 + \cdots + a_n b_n.
\]
Banyaknya bilangan asli $n \le 2016$ sehingga $S_n$ merupakan bilangan rasional adalah $\dots$",OSN_Regional_2016_14,,43
114,OSN,Regional,2016,15,Diberikan persegi $ABCD$ dengan panjang sisi $1$. Titik $K$ dan $L$ berturut-turut terletak pada segmen $BC$ dan $DC$ sehingga keliling $\triangle KCL$ adalah $2$. Luas minimum dari $\triangle AKL$ adalah $\dots$,OSN_Regional_2016_15,,$\sqrt{2}-1$
115,OSN,Regional,2016,16,"Banyaknya pasangan terurut bilangan asli $(a,b,c)$ dengan $a,b,c \in \{1,2,3,4,5\}$ sehingga
\[
\max\{a,b,c\} < 2\min\{a,b,c\}
\]
adalah $\dots$",OSN_Regional_2016_16,,35
116,OSN,Regional,2016,17,"Banyaknya bilangan asli $n \in \{1,2,3,\dots,1000\}$ sehingga terdapat bilangan real positif $x$ yang memenuhi $x^2 + \lfloor x \rfloor^2 = n$ adalah $\dots$",OSN_Regional_2016_17,,516
117,OSN,Regional,2016,18,"Misalkan $x,y,z$ bilangan real positif yang memenuhi
\[
3\log_x(3y) = 3\log_{3x}(27z) = \log_{3x^4}(81yz) \ne 0.
\]
Nilai dari $x^5 y^4 z$ adalah $\dots$",OSN_Regional_2016_18,,$\frac{1}{3^8}$
118,OSN,Regional,2016,19,"Diberikan empat titik pada satu lingkaran $\Gamma$ dalam urutan $A,B,C,D$. Sinar garis $AB$ dan $DC$ berpotongan di $E$, dan sinar garis $AD$ dan $BC$ berpotongan di $F$. Misalkan $EP$ dan $FQ$ menyinggung lingkaran $\Gamma$ berturut-turut di $P$ dan $Q$. Jika $EP = 60$ dan $FQ = 63$, maka panjang $EF$ adalah $\dots$",OSN_Regional_2016_19,,87
119,OSN,Regional,2016,20,"Pada sebuah bidang datar, terdapat 16 garis berbeda dan $n$ titik potong berbeda. Nilai minimal $n$ sehingga dapat dipastikan terdapat 3 kelompok garis yang masing–masing memuat garis–garis berbeda yang saling sejajar adalah $\dots$",OSN_Regional_2016_20,,28
120,OSN,Regional,2017,1,Diketahui $x - y = 10$ dan $xy = 10$. Nilai $x^4 + y^4$ adalah $\dots$,OSN_Regional_2017_1,,14200
121,OSN,Regional,2017,2,"Empat siswa Adi, Budi, Cokro, dan Dion bertanding balap sepeda. Kita hanya diberikan sebagian informasi sebagai berikut:
<ul>
<li>Setiap siswa sampai di garis finish pada waktu yang berlainan,
</li><li>Adi bukan juara pertama,
</li><li>Cokro kalah dari Budi.
</li></ul>
Dengan hanya mengetahui informasi ini saja, banyaknya susunan juara pertama, kedua, ketiga, dan keempat adalah $\dots$",OSN_Regional_2017_2,,9
122,OSN,Regional,2017,3,Banyaknya bilangan asli $k$ yang memenuhi $k \mid (n^7 - n)$ untuk semua bilangan asli $n$ adalah $\dots$,OSN_Regional_2017_3,,8
123,OSN,Regional,2017,4,"Pada sebuah lingkaran dengan pusat $O$, tali busur $AB$ berjarak $5$ dari titik $O$ dan tali busur $AC$ berjarak $5\sqrt{2}$ dari titik $O$. Jika panjang jari-jari lingkaran $10$, maka $BC^2$ adalah $\dots$",OSN_Regional_2017_4,,$100(2+\sqrt{3})$ atau $100(2-\sqrt{3})$
124,OSN,Regional,2017,5,"Jika
\[
\frac{(a - b)(c - d)}{(b - c)(d - a)} = -\frac{4}{7},
\]
maka nilai dari
\[
\frac{(a - c)(b - d)}{(a - b)(c - d)}
\]
adalah $\dots$",OSN_Regional_2017_5,,$\frac{11}{4}$
125,OSN,Regional,2017,6,"Pada suatu kotak ada sekumpulan bola berwarna merah dan hitam yang secara keseluruhannya kurang dari 1000 bola. Misalkan diambil dua bola. Peluang terambilnya dua bola merah adalah $p$ dan peluang terambilnya dua bola hitam adalah $q$ dengan
\[
p - q = \frac{23}{37}.
\]
Selisih terbesar yang mungkin dari banyaknya bola merah dan hitam adalah $\dots$",OSN_Regional_2017_6,,621
126,OSN,Regional,2017,7,"Misalkan $s(n)$ menyatakan faktor prima terbesar dari $n$ dan $t(n)$ menyatakan faktor prima terkecil dari $n$. Banyaknya bilangan asli $n \in \{1, 2, \dots, 100\}$ sehingga $t(n) + 1 = s(n)$ adalah $\dots$",OSN_Regional_2017_7,,9
127,OSN,Regional,2017,8,"Semua titik sudut suatu persegi dengan panjang sisi $s$ terletak pada batas dari juring lingkaran berjari-jari $r$ yang sudut pusatnya $60^\circ$. Jika persegi diletakkan secara simetris di dalam juring, maka nilai $\frac{r^2}{s^2}$ adalah $\dots$",OSN_Regional_2017_8,,$2+\sqrt{3}$
128,OSN,Regional,2017,9,"Misalkan $a, b, c$ bilangan real positif yang memenuhi $a + b + c = 1$. Nilai minimum dari
\[
\frac{a + b}{abc}
\]
adalah $\dots$",OSN_Regional_2017_9,,16
129,OSN,Regional,2017,10,"Sebuah hotel mempunyai kamar bernomor 000 sampai dengan 999. Hotel tersebut menerapkan aturan aneh sebagai berikut: jika suatu kamar berisi tamu, dan sembarang dua digit nomor kamar tersebut dipertukarkan tempatnya, maka diperoleh nomor kamar yang sama atau nomor kamar yang tidak berisi tamu. Maksimal banyaknya kamar yang berisi tamu adalah $\dots$",OSN_Regional_2017_10,,460
130,OSN,Regional,2017,11,"Jika $f$ memetakan himpunan bilangan asli ke himpunan bilangan bulat tak negatif. Fungsi tersebut memenuhi $f(1) = 0$ dan untuk setiap bilangan asli berbeda $m,n$ dengan $m \mid n$, berlaku $f(m) < f(n)$. Jika diketahui $f(8) = 11$, maka nilai dari $f(2016)$ adalah $\dots$",OSN_Regional_2017_11,,8
131,OSN,Regional,2017,12,"Diberikan segitiga $ABC$ dengan $AC = \tfrac12 (AB + BC)$. Misalkan $K$ dan $M$ berturut-turut titik tengah $AB$ dan $BC$. Titik $L$ terletak pada sisi $AC$ sehingga $BL$ adalah garis bagi sudut $ABC$. Jika $\angle ABC = 72^\circ$, maka besarnya sudut $KLM$ sama dengan $\dots$",OSN_Regional_2017_12,,tidak ada segitiga yang memenuhi
132,OSN,Regional,2017,13,"Misalkan $P(x)$ suatu polinom berderajat 4 yang memiliki nilai maksimum 2018 di $x=0$ dan $x=2$. Jika $P(1)=2017$, maka nilai $P(3)$ adalah $\dots$",OSN_Regional_2017_13,,2009
133,OSN,Regional,2017,14,"Terdapat enam anak $A,B,C,D,E,F$ akan saling bertukar kado. Tidak ada yang menerima kadonya sendiri, dan kado dari $A$ diberikan kepada $B$. Banyaknya cara membagikan kado dengan cara demikian adalah $\dots$",OSN_Regional_2017_14,,53
134,OSN,Regional,2017,15,Bilangan asli terbesar $n$ sehingga $n!$ dapat dinyatakan sebagai hasil perkalian dari $n-4$ bilangan asli berurutan adalah $\dots$,OSN_Regional_2017_15,,119
135,OSN,Regional,2017,16,"Pada segitiga $ABC$ titik $K$ dan $L$ berturut–turut adalah titik tengah $AB$ dan $AC$. Jika $CK$ dan $BL$ saling tegak lurus, maka nilai minimum dari $\cot B + \cot C$ adalah $\dots$",OSN_Regional_2017_16,,$\frac{2}{3}$
136,OSN,Regional,2017,17,"Misalkan $a,b,c,d$ bilangan–bilangan bulat positif. Jajaran genjang yang dibatasi oleh garis–garis $y=ax+c$, $y=ax+d$, $y=bx+c$, dan $y=bx+d$ mempunyai luas 18. Jajaran genjang yang dibatasi oleh garis–garis $y=ax+c$, $y=ax-d$, $y=bx+c$, dan $y=bx-d$ mempunyai luas 72. Nilai terkecil yang mungkin untuk $a+b+c+d$ adalah $\dots$",OSN_Regional_2017_17,,16
137,OSN,Regional,2017,18,Seratus bilangan bulat disusun mengelilingi lingkaran sedemikian sehingga (menurut arah jarum jam) setiap bilangan lebih besar daripada hasil penjumlahan dua bilangan sebelumnya. Maksimal banyaknya bilangan bulat positif yang terdapat pada lingkaran tersebut adalah $\dots$,OSN_Regional_2017_18,,49
138,OSN,Regional,2017,19,"Untuk sebarang bilangan asli $n$, misalkan $S(n)$ adalah jumlah digit-digit dari $n$ dalam penulisan desimal. Jika $S(n) = 5$, maka nilai maksimum dari $S(n^5)$ adalah $\dots$",OSN_Regional_2017_19,,398
139,OSN,Regional,2017,20,"Diberikan segitiga $ABC$ dengan $AB = 12$, $BC = 5$ dan $AC = 13$. Misalkan $P$ suatu titik pada garis bagi $\angle A$ yang terletak di dalam $ABC$ dan misalkan $M$ suatu titik pada sisi $AB$ (dengan $A \ne M \ne B$). Garis $AP$ dan $MP$ memotong $BC$ dan $AC$ berturut–turut di $D$ dan $N$. Jika $\angle MPB = \angle PCN$ dan $\angle NPC = \angle MBP$, maka nilai $\dfrac{AP}{PD}$ adalah $\dots$",OSN_Regional_2017_20,,5
140,OSN,Regional,2018,1,"Misalkan $a, b,$ dan $c$ adalah tiga bilangan berbeda. Jika ketiga bilangan tersebut merupakan bilangan asli satu digit maka jumlah terbesar akar-akar persamaan
\[
(x - a)(x - b) + (x - b)(x - c) = 0
\]
yang mungkin adalah $\dots$",OSN_Regional_2018_1,,$\frac{33}{2}$
141,OSN,Regional,2018,2,"Setiap sel dari suatu tabel berukuran $2 \times 2$ dapat diisi dengan bilangan $1, 2,$ atau $3$. Misalkan $N$ adalah banyaknya tabel yang memenuhi kedua sifat berikut sekaligus:
<ul>
<li>Untuk setiap baris, hasil penjumlahannya genap.
</li><li>Untuk setiap kolom, hasil penjumlahannya genap.
</li></ul>
Nilai $N$ adalah $\dots$",OSN_Regional_2018_2,,17
142,OSN,Regional,2018,3,"Diberikan persegi berukuran $3 \times 3$ satuan seperti pada gambar. Luas segilima yang diarsir adalah $\dots$
<img src=""Figure/2018_OSN_Regional_3.PNG"" style=""display:block; width:400px; max-width:100%; height:auto; margin:20px auto 0;"">",OSN_Regional_2018_3,2018_OSN_Regional_3.PNG,$\frac{11}{12}$
143,OSN,Regional,2018,4,Parabola $y = ax^2 - 4$ dan $y = 8 - bx^2$ memotong sumbu koordinat pada tepat empat titik. Keempat titik tersebut merupakan titik-titik sudut layang-layang dengan luas 24. Nilai $a + b$ adalah $\dots$,OSN_Regional_2018_4,,3
144,OSN,Regional,2018,5,Untuk setiap bilangan asli $n$ didefinisikan $s(n)$ sebagai hasil penjumlahan dari semua digit-digit dari $n$. Banyaknya bilangan asli $d$ sehingga $d$ habis membagi $n - s(n)$ untuk setiap bilangan asli $n$ adalah $\dots$,OSN_Regional_2018_5,,3
145,OSN,Regional,2018,6,"Diketahui $x$ dan $y$ bilangan prima dengan $x < y$, dan
\[
x^3 + y^3 + 2018 = 30y^2 - 300y + 3018.
\]
Nilai $x$ yang memenuhi adalah $\dots$",OSN_Regional_2018_6,,3
146,OSN,Regional,2018,7,"Diberikan dua bilangan asli dua angka yang selisihnya 10. Diketahui bahwa bilangan yang kecil merupakan kelipatan 3, sedangkan yang lainnya merupakan kelipatan 7. Diketahui pula bahwa jumlah semua faktor prima kedua bilangan tersebut adalah 17. Jumlah dua bilangan tersebut adalah $\dots$",OSN_Regional_2018_7,,130
147,OSN,Regional,2018,8,"Diberikan satu koin yang tidak seimbang. Bila koin tersebut ditos satu kali, peluang muncul angka adalah $\frac{1}{4}$. Jika ditos $n$ kali, peluang muncul tepat dua angka sama dengan peluang muncul tepat tiga angka. Nilai $n$ adalah $\dots$",OSN_Regional_2018_8,,11
148,OSN,Regional,2018,9,Panjang sisi-sisi dari segitiga merupakan bilangan asli yang berurutan. Diketahui bahwa garis berat dari segitiga tegak lurus dengan salah satu garis baginya. Keliling segitiga itu adalah $\dots$,OSN_Regional_2018_9,,9
149,OSN,Regional,2018,10,"Diberikan suku banyak $p(x)$ dengan
\[
p(x)^2 + p(x^2) = 2x^2
\]
untuk setiap bilangan real $x$. Jika $p(1) \ne 1$, maka jumlah semua nilai $p(10)$ yang mungkin adalah $\dots$",OSN_Regional_2018_10,,-121
150,OSN,Regional,2018,11,"Misalkan $\{x_n\}$ adalah barisan bilangan bulat yang memenuhi
$x_1 = x_2 = \dots = x_{12} = 0$, $x_{13} = 2$, dan untuk setiap bilangan asli $n$ berlaku
\[
x_{n+13} = x_{n+4} + 2x_n.
\]
Nilai $x_{143}$ adalah $\dots$",OSN_Regional_2018_11,,2104
151,OSN,Regional,2018,12,"Untuk setiap bilangan real $z$, $[z]$ menyatakan bilangan bulat terbesar yang lebih kecil dari atau sama dengan $z$.
Jika diketahui $[x] + [y] + y = 43.8$ dan $x + y - [x] = 18.4$, nilai $10(x + y)$ adalah $\dots$",OSN_Regional_2018_12,,274
152,OSN,Regional,2018,13,"Misalkan $ABCD$ adalah trapesium siku-siku dengan $AB$ sejajar $DC$ dan $AB$ tegak lurus $AD$.
Misalkan pula $P$ adalah titik potong diagonal $AC$ dan $BD$.
Jika perbandingan luas segitiga $APD$ dan luas trapesium $ABCD$ adalah $4 : 25$ maka nilai
\[
\frac{AB}{DC}
\]
adalah $\dots$",OSN_Regional_2018_13,,4
153,OSN,Regional,2018,14,"Himpunan $S$ merupakan himpunan bilangan-bilangan 7 digit sehingga masing-masing angka 1--7 tepat muncul satu kali.
Bilangan-bilangan di $S$ diurutkan mulai dari yang paling kecil sampai paling besar.
Bilangan yang berada pada urutan ke-2018 adalah $\dots$",OSN_Regional_2018_14,,3671254
154,OSN,Regional,2018,15,"Misalkan $S = \{x \in \mathbb{R} \mid 0 \le x \le 1\}$.
Banyaknya pasangan bilangan asli $(a,b)$ sehingga tepat ada 2018 anggota $S$ yang dapat dinyatakan dalam bentuk
\[
\frac{x}{a} + \frac{y}{b}
\]
untuk suatu bilangan bulat $x$ dan $y$ adalah $\dots$",OSN_Regional_2018_15,,3
155,OSN,Regional,2018,16,"Diberikan segitiga $ABC$ dan lingkaran $\Gamma$ yang berdekatan dengan $ABC$.
Lingkaran $\Gamma$ memotong sisi $AC$ dan $BC$ berturut-turut di $D$ dan $E$.
Jika $AB = 30$, $AD = \frac{1}{3} AC$, dan $BE = \frac{1}{4} BC$, maka luas segitiga $ABC$ adalah $\dots$",OSN_Regional_2018_16,,540
156,OSN,Regional,2018,17,"Diberikan bilangan real $x$ dan $y$ yang memenuhi
\[
\frac12 < \frac{x}{y} < 2.
\]
Nilai minimum
\[
\frac{x}{2y - x} + \frac{2y}{2x - y}
\]
adalah $\dots$",OSN_Regional_2018_17,,$1+\frac{4\sqrt{2}}{3}$
157,OSN,Regional,2018,18,"Diberikan sembilan titik pada bidang yang membentuk segitiga sama sisi.
Pada tiap sisi, dua titik yang bukan titik sudut segitiga membagi sisi menjadi tiga bagian sama panjang.
Kesembilan titik ini akan diwarnai masing-masing dengan warna merah atau biru.
Peluang bahwa dari kesembilan titik tersebut terdapat tiga titik yang warnanya sama dan membentuk segitiga siku-siku adalah $\dots$

<img src=""Figure/2018_OSN_Regional_18.png"" style=""display:block; width:400px; max-width:100%; height:auto; margin:20px auto 0;"">",OSN_Regional_2018_18,2018_OSN_Regional_18.png,1
158,OSN,Regional,2018,19,Bilangan prima terbesar yang dapat dinyatakan dalam bentuk $a^4 + b^4 + 13$ untuk suatu bilangan-bilangan prima $a$ dan $b$ adalah $\dots$,OSN_Regional_2018_19,,719
159,OSN,Regional,2018,20,"Pada segitiga $ABC$, panjang sisi $BC$ adalah $1$ satuan.
Ada tepat satu titik $D$ pada sisi $BC$ yang memenuhi $|DA|^2 = |DB| \cdot |DC|$.
Jika $k$ menyatakan keliling $ABC$, jumlah semua $k$ yang mungkin adalah $\dots$",OSN_Regional_2018_20,,$1+\sqrt{2}$
160,OSN,Regional,2019,1,"Pak Budi memiliki sawah berbentuk huruf L. Jika diketahui bahwa sawahnya Pak Budi hanya memiliki sisi yang panjangnya $5$ meter dan $10$ meter dan semua sudut sawahnya siku-siku, luas sawah Pak Budi adalah \dots meter persegi.",OSN_Regional_2019_1,,75
161,OSN,Regional,2019,2,Jika sebuah jam sekarang menunjukkan pukul $13:00$ maka $2019$ menit yang lalu jam tersebut menunjukkan pukul $\dots$,OSN_Regional_2019_2,,03:21
162,OSN,Regional,2019,3,Kedua akar persamaan kuadrat $x^2-111x+k=0$ adalah bilangan prima. Nilai $k$ adalah $\dots$,OSN_Regional_2019_3,,218
163,OSN,Regional,2019,4,"Ani dan Banu bermain dadu enam sisi. Jika dadu yang keluar bernilai genap, maka Ani mendapatkan skor $1$ sedangkan jika dadu yang keluar bernilai ganjil, maka Banu yang mendapatkan skor $1$. Pemenang dari permainan ini adalah orang pertama yang mendapatkan skor $5$. Setelah dilakukan pelemparan dadu sebanyak $5$ kali, Ani mendapat skor $4$ dan Bnu mendapatkan skor $1$. Peluang Ani memenangkan permainan ini adalah $\dots$",OSN_Regional_2019_4,,$\frac{15}{16}$
164,OSN,Regional,2019,5,"Diketahui $a+2b=1$, $b+2c=2$, dan $b\neq 0$. Jika $a+nb+2018c=2019$ maka nilai $n$ adalah $\dots$",OSN_Regional_2019_5,,1011
165,OSN,Regional,2019,6,"Misalkan $a=2\sqrt{2}-\sqrt{8-4\sqrt{2}}$ dan $b=2\sqrt{2}+\sqrt{8-4\sqrt{2}}$. Jika $\dfrac{a}{b}+\dfrac{b}{a}=x+y\sqrt{2}$ dengan $x,y$ bilangan bulat, maka $x+y$ adalah $\dots$",OSN_Regional_2019_6,,2
166,OSN,Regional,2019,7,Diberikan suatu trapesium $ABCD$ dengan $AB$ sejajar $CD$. Misalkan titik $P$ dan $Q$ berturut-turut pada $AD$ dan $BC$ sedemikian sehingga $PQ$ sejajar $AB$ dan membagi trapesium menjadi dua bagian yang sama luasnya. Jika $AB=17$ dan $DC=7$ maka nilai $PQ$ adalah $\dots$,OSN_Regional_2019_7,,13
167,OSN,Regional,2019,8,"Tujuh buah bendera dengan motif berbeda akan dipasang pada 4 tiang bendera. Pada masing-masing tiang bendera bisa dipasang sebanyak nol, satu, atau lebih dari satu bendera. Banyaknya care memasang bendera tersebut adalah $\dots$",OSN_Regional_2019_8,,604800
168,OSN,Regional,2019,9,"Misalkan $n$ adalah bilangan asli terkecil yang semua digitnya sama dan sedikitnya terdiri dari $2019$ digit. Jika $n$ habis dibagi $126$, maka hasil penjumlahan semua digit dari $n$ adalah $\dots$",OSN_Regional_2019_9,,12132
169,OSN,Regional,2019,10,"Untuk sebarang bilangan real $x$, simbol $\lfloor x\rfloor$ menyatakan bilangan bulat terbesar yang tidak lebih besar daripada $x$, sedangakan $\lceil x\rceil$ menyatakan bilangan bulat terkecil yang tidak lebih kecil dibanding $x$. Interval $[a,b)$ adalah himpunan semua bilangan real $x$ yang memenuhi
$$\lfloor 2x\rfloor^2=\lceil x\rceil+7.$$
Nilai $a\cdot b$ adalah $\dots$",OSN_Regional_2019_10,,3
170,OSN,Regional,2019,11,Sisa pembagian $1111^{2019}$ oleh $11111$ adalah $\dots$,OSN_Regional_2019_11,,11101
171,OSN,Regional,2019,12,"Diberikan segitiga $ABC$ dengan $D$ pertengahan $AC$, $E$ pertengahan $BD$, dan $H$ merupakan pencerminan dari $A$ terhadap $E$.
Jika $F$ perpotongan antara $AH$ dengan $BC$, maka nilai
\[
\frac{AF}{FH}
\]
adalah $\dots$",OSN_Regional_2019_12,,2
172,OSN,Regional,2019,13,Banyaknya bilangan delapan digit yang setiap digitnya adalah 1 atau 2 tetapi tidak memuat tiga digit 1 berurutan adalah $\dots$,OSN_Regional_2019_13,,149
173,OSN,Regional,2019,14,"Misalkan $f(x) = 1 + \frac{90}{x}$.
Nilai terbesar $x$ yang memenuhi
\[
f(f(\cdots f(x)\cdots)) = x
\]
(2019 kali) adalah $\dots$",OSN_Regional_2019_14,,10
174,OSN,Regional,2019,15,"Misalkan $ABCD$ adalah persegi dengan panjang sisi 4.
Lingkaran-lingkaran $x, y, z$ dengan jari-jari sama mempunyai pusat di dalam persegi sedemikian sehingga lingkaran $x$ menyinggung sisi $AB$ dan $AD$, lingkaran $y$ menyinggung sisi $AB$ dan $BC$, serta lingkaran $z$ menyinggung sisi $DC$, lingkaran $x$, dan lingkaran $y$.
Diketahui jari-jari lingkaran $x$ dapat dinyatakan dengan $n - \sqrt{m}$ dengan $m$ dan $n$ bilangan bulat positif.
Nilai $m$ adalah $\dots$",OSN_Regional_2019_15,,80
175,OSN,Regional,2019,16,"Semua bilangan bulat $n$ sehingga
\[
n^4 + 16n^3 + 71n^2 + 56n
\]
merupakan bilangan kuadrat tak nol adalah $\dots$",OSN_Regional_2019_16,,3
176,OSN,Regional,2019,17,"Diberikan jajar genjang $ABCD$, dengan $\angle ABC = 105^\circ$.
Titik $M$ berada di dalam jajar genjang sehingga segitiga $BMC$ sama sisi dan $\angle CMD = 135^\circ$.
Jika $K$ pertengahan sisi $AB$, maka besarnya $\angle BKC$ adalah \dots derajat.",OSN_Regional_2019_17,,$45^{\circ}$
177,OSN,Regional,2019,18,"Bilangan real terbesar $M$ sehingga untuk setiap bilangan positif $x$ berlaku
\[
(x+1)(x+3)(x+5)(x+11) \ge Mx
\]
adalah $\dots$",OSN_Regional_2019_18,,576
178,OSN,Regional,2019,19,"Banyaknya tripel bilangan bulat $(m,n,p)$ dengan $p$ prima yang memenuhi
\[
p^2 n^2 - 3mn = 21p - m^2
\]
adalah $\dots$",OSN_Regional_2019_19,,12
179,OSN,Regional,2019,20,"Suatu lomba matematika diikuti oleh 2019 peserta.
Untuk setiap dua peserta lomba, keduanya saling mengenal atau saling tidak mengenal.
Tidak ada tiga peserta yang ketiganya saling mengenal.
Misalkan $m$ adalah bilangan asli sehingga:
<ul>
<li>Setiap peserta mengenal paling banyak $m$ peserta lainnya.
</li><li>Untuk setiap bilangan asli $k$ dengan $1 \le k \le m$, minimal terdapat satu orang peserta yang mengenal tepat $k$ peserta lainnya.
</li></ul>
Nilai $m$ terbesar yang mungkin adalah $\dots$",OSN_Regional_2019_20,,1346
180,OSN,Regional,2020,1,Misalkan $$f(x)=\dfrac{3(x-1)(x-2)}{2}+\dfrac{(x-2)(x-3)}{2}-2(x-1)(x-3).$$ Nilai dari $f(20)=\dots$,OSN_Regional_2020_1,,20
181,OSN,Regional,2020,2,Diberikan sebuah kubus besar berukuran $3 \times 3 \times 3$ yang seluruh permukaannya dicat dengan warna merah. Kubus tersebut dipotong menjadi 27 kubus satuan (kubus berukuran $1 \times 1 \times 1$). Diketahui bahwa Amir mengambil satu kubus kecil yang salah satu sisinya berwarna merah. Peluang kubus kecil yang diambil Amir memiliki tepat dua sisi berwarna merah adalah $\dots$,OSN_Regional_2020_2,,$\frac{6}{13}$
